stop/id,stop/code,stop/name,stop/desc,stop/lat,stop/lon,stop/location-type,stop/parent-station,stop/wheelchair-boarding,stop/platform-code,stop/zone-id,stop/level-id
de:12071:900445750,,"Jänschwalde, Bahnhof",,51.866445000000,14.501375000000,1,,1,,"6973 Jänschwalde, Bahnhof",
de:12062:900416094,,"Rückersdorf, Bahnhof",,51.567823000000,13.574231000000,1,,1,,"7658 Rückersdorf, Bahnhof",
de:12062:900415683,,"Herzberg (Elster), Bahnhof",,51.679587000000,13.203034000000,1,,1,,"7352 Herzberg (Elster), Bahnhof",
de:12062:900415736,,"Hohenleipisch, Bahnhof",,51.492830000000,13.565075000000,1,,1,,"7758 Hohenleipisch, Bahnhof",
de:12073:900340979,,"Nechlin, Bahnhof",,53.442752000000,13.903114000000,1,,1,,"3563 Nechlin, Bahnhof",
de:15091:8012233,,"Linda (Elster), Bahnhof",,51.852698000000,13.085269000000,1,,1,,"7050 Linda (Elster), Bahnhof",
de:15091:8011909,,"Holzdorf, Bahnhof",,51.780271000000,13.114162000000,1,,1,,"7150 Holzdorf, Bahnhof",
de:12069:900222245,,"Medewitz, Bahnhof",,52.060665000000,12.392208000000,1,,1,,"6440 Medewitz, Bahnhof",
de:12066:900435347,,"Neupetershain, Bahnhof",,51.606340000000,14.161230000000,1,,1,,"7667 Neupetershain, Bahnhof",
de:12071:900446322,,"Spremberg, Bahnhof",,51.574724000000,14.396679000000,1,,1,,"7671 Spremberg, Bahnhof",
de:12066:900435697,,"Raddusch, Bahnhof",,51.815924000000,14.032319000000,1,,1,,"7165 Raddusch, Bahnhof",
de:12052:900470307,,"Cottbus, Willmersdorf Nord Bhf",,51.816465000000,14.385618000000,1,,1,,"7271 Cottbus, Willmersdorf Nord Bhf",
de:12062:900416052,,"Prösen, Ost Bhf",,51.425144000000,13.500480000000,1,,1,,"7958 Prösen, Ost Bhf",
de:12053:900360001,,"Frankfurt (Oder), Neuberesinchen Bhf",,52.322545000000,14.546612000000,1,,1,,"5973 Frankfurt (Oder), Neuberesinchen Bhf",
de:12061:900261512,,"Lübben, Bahnhof",,51.940723000000,13.876924000000,1,,1,,"6863 Lübben, Bahnhof",
de:11000:900160004,,S+U Lichtenberg Bhf (Berlin),,52.510672000000,13.498359000000,1,,0,,5656 S+U Lichtenberg Bhf (Berlin),
de:12052:900470163,,"Cottbus, Merzdorf Bhf",,51.768927000000,14.366592000000,1,,1,,"7271 Cottbus, Merzdorf Bhf",
de:12052:900470001,,"Cottbus, Sandow Bhf",,51.755118000000,14.353513000000,1,,1,,"7270 Cottbus, Sandow Bhf",
de:12069:900220114,,S Teltow Stadt,,52.396848000000,13.276248000000,1,,0,,5953 S Teltow Stadt,
de:12063:900210326,,"Brieselang, Bahnhof",,52.582598000000,13.001286000000,1,,1,,"5449 Brieselang, Bahnhof",
de:12060:900350137,,"Biesenthal, Bahnhof",,52.755534000000,13.674758000000,1,,1,,"5059 Biesenthal, Bahnhof",
de:12072:900245836,,"Ludwigsfelde, Struveshof Bhf",,52.317269000000,13.232612000000,1,,0,,"6053 Ludwigsfelde, Struveshof Bhf",
de:12072:900245303,,"Zellendorf, Bahnhof",,51.893876000000,13.067144000000,1,,0,,"6950 Zellendorf, Bahnhof",
de:11000:900162008,,Traberweg (Berlin),,52.477311000000,13.523756000000,1,,0,,5656 Traberweg (Berlin),
de:12064:900321813,,"Werbig (MOL), Pflasterstr. Ersatzbahnsteig",,52.564760000000,14.415727000000,1,,0,,"5471 Werbig (MOL), Pflasterstr. Ersatzbahnsteig",
de:11000:900100007::3,,S Oranienburger Str. (Berlin),,52.524724000000,13.392833000000,0,,0,,5555 S Oranienburger Str. (Berlin),9
de:12072:900245027:2:52,,S Blankenfelde (TF) Bhf,,52.338503000000,13.415406000000,0,de:12072:900245027,1,3,5955 S Blankenfelde (TF) Bhf,33
de:12070:900215110:1:50,,"Bad Wilsnack, Bahnhof",,52.960114000000,11.949402000000,0,de:12070:900215110,1,2,"4533 Bad Wilsnack, Bahnhof",50
de:12070:900215110:2:51,,"Bad Wilsnack, Bahnhof",,52.960219000000,11.949528000000,0,de:12070:900215110,1,3,"4533 Bad Wilsnack, Bahnhof",50
